Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,,DS_PM_pred,DS_PM_stdd,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
2018,CA,California,Alameda,06001,06001400100,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.9,,,7.7,8.3,2937,POINT (-122.2318111 37.86754143),6001400100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,25.39,11.2225,2991,1442,1549,3.8,69.2,2.8,0,16.2,0,2350,208393,46352,115773,19839,4.2,8.4,72.4,8.1,15.6,1.5,2.5,52.4,10.6,14.3,0.5,2.2,20,34.8,1543,80.6,6.6,12.8,0,4
2018,CA,California,Alameda,06001,06001400200,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8,,,7.7,8.4,1974,POINT (-122.2494804 37.84816909),6001400200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,25.394,10.821,1997,992,1005,8.9,71.3,0.9,0.3,9.8,0,1518,147500,34827,80558,7558,5.5,1.9,75.7,5.9,11.6,4.7,2,43.9,3.8,31.1,4.4,5,11.8,29.2,1231,77.4,10.2,11.6,0.8,3.7
2018,CA,California,Alameda,06001,06001400300,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.9,,,8.5,9.4,4865,POINT (-122.2544213 37.84055835),6001400300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,25.683,11.0059,5123,2383,2740,7.5,67,9.4,0,9.8,0.8,4035,88173,11036,66529,13857,7.5,0,65.8,9.4,14.9,2.1,7.8,42.3,6.7,30.4,5.4,4.9,10.3,31.3,3213,73,17.8,9.2,0,5.5
2018,CA,California,Alameda,06001,06001400400,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.9,,,8.6,9.2,3703,POINT (-122.2575184 37.84801152),6001400400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,25.364,10.5256,3991,1810,2181,9.4,65.8,6,0.3,12.1,0,3033,102821,13517,62705,6602,9.2,9.5,79.2,6.6,11.8,1.1,1.3,38.5,8.3,27.1,4.3,12.8,9.1,30.4,2499,73.9,15.2,10.7,0.3,5
2018,CA,California,Alameda,06001,06001400500,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.3,,,9,9.8,3517,POINT (-122.2647955 37.84852952),6001400500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,25.093,11.0902,3944,1660,2284,10.3,53.4,24.1,0,5.6,0.8,3034,92375,18444,45313,4668,9.4,0,59.1,15.1,17.7,2.8,5.2,39.6,6.6,25.7,2.9,11.1,14,32.4,2587,77.1,14.1,8.8,0,2.6
2018,CA,California,Alameda,06001,06001400600,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.5,,,9,10.1,1571,POINT (-122.2648484 37.8419949),6001400600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,25.511,10.8442,1635,767,868,8.6,44.6,24.6,0.2,9.7,0,1299,86458,30610,47594,5224,10.9,9.8,68.7,8.6,16,1.6,5.2,37,12.9,26.8,0.2,14.7,8.4,34.5,1015,77.9,15.2,6.9,0,6.5
2018,CA,California,Alameda,06001,06001400700,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.5,,,10,10.9,4206,POINT (-122.2722964 37.84178565),6001400700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,25.286,10.6655,4837,2464,2373,17.7,37.5,34.7,1.3,4.1,0,3661,55066,14299,33302,3957,16,25.7,48.6,17.3,20.4,4.3,9.4,38.2,8.1,29.7,2.4,11.7,9.9,35.8,2774,74.4,14.3,11,0.3,7.2
2018,CA,California,Alameda,06001,06001400800,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.8,,,9.4,10.3,3594,POINT (-122.2833225 37.8454017),6001400800,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,24.98,10.5645,3796,1787,2009,11.1,38.4,32.1,0.2,13.2,0,2988,64788,11888,37741,5237,12.1,5.7,57.8,13.4,16.5,5.2,7.2,43.3,12.3,25.1,2.5,6.9,10,31.8,2244,68.4,17.5,13.9,0.2,8.4
2018,CA,California,Alameda,06001,06001400900,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.4,,,10,10.9,2302,POINT (-122.2802174 37.83941814),6001400900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,24.978,10.5634,2394,1187,1207,12.1,42.6,32.4,0.4,6.1,0,1814,57011,6231,40087,6467,15.3,24.7,43.7,21.3,23.2,5.5,6.2,51.5,6.8,26.1,2.9,7.2,5.5,30.1,1425,69.8,16.4,13.9,0,7.4
2018,CA,California,Alameda,06001,06001401000,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,11,,,10.6,11.5,5678,POINT (-122.2719706 37.83118615),6001401000,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.064,11.0148,6247,3080,3167,19.8,29.3,36.6,0.1,3,1.4,4865,60443,9537,30824,3558,24.9,46.1,42.1,25.3,23.6,4.6,4.4,27.6,12.9,41.8,3.4,8.4,5.8,31.8,3522,78.1,13.2,8.7,0,6.9
2018,CA,California,Alameda,06001,06001401100,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.3,,,8.9,9.7,4156,POINT (-122.2638073 37.83050314),6001401100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,25.718,10.4886,4205,2074,2131,10.4,50.5,15.3,0,16.4,0,3653,78258,7067,49651,6798,13,6.3,68.9,8.8,15.4,3.6,3.3,18.6,9.7,45.8,3.6,9.7,12.7,32.5,2995,74,12.3,12.5,1.2,9.1
2018,CA,California,Alameda,06001,06001401200,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.9,,,8.5,9.4,2416,POINT (-122.2578956 37.83058603),6001401200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,25.912,10.8576,2601,1217,1384,18.7,51.2,16.5,0.3,8.7,0,2124,86824,22612,56107,10391,8.4,4.9,65.4,15.7,11.2,3.2,4.5,43.7,2.8,27.9,6.9,7.1,11.6,30.9,1693,78.7,11,10.3,0,8.6
2018,CA,California,Alameda,06001,06001401300,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.7,,,9.4,10.2,3528,POINT (-122.2666507 37.81809815),6001401300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.091,10.9016,4054,2417,1637,13.5,34.5,32.5,0.7,15.3,0,3353,43476,7893,37261,5905,30.4,10.5,47.5,21.8,14.9,2.7,13.1,32,5.2,35.1,11.6,8.1,8.1,33.9,2291,79.9,12.7,7.4,0,13
2018,CA,California,Alameda,06001,06001401400,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,11.1,,,10.8,11.5,4314,POINT (-122.2733273 37.82070831),6001401400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,25.794,10.9183,4013,2038,1975,23.4,22.2,37.6,1.4,5.9,1,2805,30479,3935,20407,3402,35,47.1,35.9,28.9,15.8,9.3,10.1,41.1,5.7,24.1,8,13.2,7.9,30.3,1939,77.9,12.5,9.5,0,8.6
2018,CA,California,Alameda,06001,06001401500,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.6,,,10.1,11.2,2630,POINT (-122.2805691 37.82291728),6001401500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,25.848,10.8864,2638,1326,1312,13.7,37.1,35.9,0.2,6.9,0.9,2129,54464,10612,33055,4409,21.5,21,45.1,21.9,23.4,0.6,9.1,42.9,11.4,20.8,3.8,12.9,8.3,27.5,1531,78.5,9.5,11.6,0.4,9.3
