Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2018,CA,California,Alameda,06001,06001400100,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.9,,,7.7,8.3,2937,POINT (-122.2318111 37.86754143),06001400100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001400200,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.0,,,7.7,8.4,1974,POINT (-122.2494804 37.84816909),06001400200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001400300,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.9,,,8.5,9.4,4865,POINT (-122.2544213 37.84055835),06001400300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001400400,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.9,,,8.6,9.2,3703,POINT (-122.2575184 37.84801152),06001400400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001400500,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.3,,,9.0,9.8,3517,POINT (-122.2647955 37.84852952),06001400500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001400600,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.5,,,9.0,10.1,1571,POINT (-122.2648484 37.8419949),06001400600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001400700,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.5,,,10.0,10.9,4206,POINT (-122.2722964 37.84178565),06001400700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001400800,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.8,,,9.4,10.3,3594,POINT (-122.2833225 37.8454017),06001400800,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001400900,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.4,,,10.0,10.9,2302,POINT (-122.2802174 37.83941814),06001400900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001401000,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,11.0,,,10.6,11.5,5678,POINT (-122.2719706 37.83118615),06001401000,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001401100,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.3,,,8.9,9.7,4156,POINT (-122.2638073 37.83050314),06001401100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001401200,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.9,,,8.5,9.4,2416,POINT (-122.2578956 37.83058603),06001401200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001401300,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.7,,,9.4,10.2,3528,POINT (-122.2666507 37.81809815),06001401300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001401400,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,11.1,,,10.8,11.5,4314,POINT (-122.2733273 37.82070831),06001401400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001401500,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.6,,,10.1,11.2,2630,POINT (-122.2805691 37.82291728),06001401500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001401600,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.5,,,10.1,11.0,2163,POINT (-122.2814375 37.8173714),06001401600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001401700,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.4,,,9.1,9.8,2667,POINT (-122.303585 37.8193011),06001401700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001401800,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,11.4,,,10.8,12.1,1703,POINT (-122.2982163 37.80951439),06001401800,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001402200,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.4,,,10.0,11.0,2385,POINT (-122.2962122 37.80658128),06001402200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001402400,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.6,,,10.1,11.2,2351,POINT (-122.2824262 37.81203738),06001402400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001402500,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,13.6,,,12.5,14.6,1784,POINT (-122.2847348 37.8057452),06001402500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Alameda,06001,06001402600,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.1,,,9.6,10.5,1151,POINT (-122.2799166 37.80427132),06001402600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
